Date,Open,High,Low,Close,Adj Close,Volume
05/06/2019,126.389999,128.56,126.110001,128.149994,126.476624,24239800
05/07/2019,126.459999,127.18,124.220001,125.519997,123.880966,36017700
05/08/2019,125.440002,126.37,124.75,125.510002,123.871117,28419000
05/09/2019,124.290001,125.79,123.57,125.5,123.861244,27235800
05/10/2019,124.910004,127.93,123.82,127.129997,125.469955,30915100
05/13/2019,124.110001,125.55,123.040001,123.349998,121.739311,33944900
05/14/2019,123.870003,125.88,123.699997,124.730003,123.101303,25266300
05/15/2019,124.260002,126.71,123.699997,126.019997,124.834839,24722700
05/16/2019,126.75,129.38,126.459999,128.929993,127.717468,30112200
05/17/2019,128.309998,130.46,127.919998,128.070007,126.86557,25770500
05/20/2019,126.519997,127.59,125.760002,126.220001,125.032967,23706900
05/21/2019,127.43,127.53,126.580002,126.900002,125.706573,15293300
05/22/2019,126.620003,128.24,126.519997,127.669998,126.469322,15396500
05/23/2019,126.199997,126.29,124.739998,126.18,124.99334,23603800
05/24/2019,126.910004,127.42,125.970001,126.239998,125.052765,14123400
05/28/2019,126.980003,128.00,126.050003,126.160004,124.973534,23128400
05/29/2019,125.379997,125.39,124.040001,124.940002,123.764999,22763100
05/30/2019,125.260002,125.76,124.779999,125.730003,124.547562,16829600
05/31/2019,124.230003,124.62,123.32,123.68,122.516846,26646800
06/03/2019,123.849998,124.37,119.010002,119.839996,118.712952,37983600
06/04/2019,121.279999,123.28,120.650002,123.160004,122.00174,29382600
06/05/2019,124.949997,125.87,124.209999,125.830002,124.646629,24926100
06/06/2019,126.440002,127.97,125.599998,127.82,126.617912,21459000
06/07/2019,129.190002,132.25,128.259995,131.399994,130.16423,33885600
06/10/2019,132.399994,134.08,132,132.600006,131.352966,26477100
06/11/2019,133.880005,134.24,131.279999,132.100006,130.857666,23913700
06/12/2019,131.399994,131.97,130.710007,131.490005,130.253403,17084700
06/13/2019,131.979996,133.00,131.559998,132.320007,131.075592,17200800
06/14/2019,132.259995,133.79,131.639999,132.449997,131.204376,17821700
06/17/2019,132.630005,133.73,132.529999,132.850006,131.600616,14517800
06/18/2019,134.190002,135.24,133.570007,135.160004,133.888885,25934500
06/19/2019,135,135.93,133.809998,135.690002,134.41391,23744400
06/20/2019,137.449997,137.66,135.720001,136.949997,135.662033,33042600
06/21/2019,136.580002,137.73,136.460007,136.970001,135.68187,36727900
06/24/2019,137,138.40,137,137.779999,136.484238,20628800
06/25/2019,137.25,137.59,132.729996,133.429993,132.17514,33327400
06/26/2019,134.350006,135.74,133.600006,133.929993,132.670441,23657700
06/27/2019,134.139999,134.71,133.509995,134.149994,132.888367,16557500
06/28/2019,134.570007,134.60,133.160004,133.960007,132.70018,30043000
07/01/2019,136.630005,136.70,134.970001,135.679993,134.403992,22654200
07/02/2019,136.119995,136.59,135.339996,136.580002,135.295517,15237800
07/03/2019,136.800003,137.74,136.289993,137.460007,136.167252,13629300
07/05/2019,135.940002,137.33,135.720001,137.059998,135.771011,18141100
07/08/2019,136.399994,137.10,135.369995,136.960007,135.671951,16779700
07/09/2019,136,136.97,135.800003,136.460007,135.176666,19953100
07/10/2019,137.130005,138.58,137.020004,137.850006,136.553604,24204400
07/11/2019,138.199997,139.22,137.869995,138.399994,137.098404,22327900
07/12/2019,138.850006,139.13,138.009995,138.899994,137.593704,18936800
07/15/2019,139.440002,139.54,138.460007,138.899994,137.593704,16651500
07/16/2019,138.960007,139.05,136.520004,137.080002,135.790817,22726100
07/17/2019,137.699997,137.93,136.220001,136.270004,134.988449,20211000
07/18/2019,135.550003,136.62,134.669998,136.419998,135.137039,30808700
07/19/2019,140.220001,140.67,136.449997,136.619995,135.335144,48992400
07/22/2019,137.410004,139.19,137.330002,138.429993,137.128113,25074900
07/23/2019,139.759995,139.99,138.029999,139.289993,137.980042,18034600
07/24/2019,138.899994,140.74,138.850006,140.720001,139.396591,20738300
07/25/2019,140.429993,140.61,139.320007,140.190002,138.871582,18356900
07/26/2019,140.369995,141.68,140.300003,141.339996,140.010757,19037600
07/29/2019,141.5,141.51,139.369995,141.029999,139.703674,16605900
07/30/2019,140.139999,141.22,139.800003,140.350006,139.030075,16846500
07/31/2019,140.330002,140.49,135.080002,136.270004,134.988449,38598800
08/01/2019,137,140.94,136.929993,138.059998,136.761597,40557500
08/02/2019,138.089996,138.32,135.259995,136.899994,135.612503,30791600
08/05/2019,133.300003,133.93,130.779999,132.210007,130.966629,42749600
08/06/2019,133.800003,135.68,133.210007,134.690002,133.423309,32696700
08/07/2019,133.789993,135.65,131.830002,135.279999,134.007736,33414500
08/08/2019,136.600006,138.99,135.929993,138.889999,137.583801,27496500
08/09/2019,138.610001,139.38,136.460007,137.710007,136.414917,23466700
08/12/2019,137.070007,137.86,135.240005,135.789993,134.512939,20476600
08/13/2019,136.050003,138.80,135,138.600006,137.296539,25154600
08/14/2019,136.360001,136.92,133.669998,133.979996,133.161926,32527300
08/15/2019,134.389999,134.58,132.25,133.679993,132.863754,28074400
08/16/2019,134.880005,136.46,134.720001,136.130005,135.298813,24449100
08/19/2019,137.850006,138.55,136.889999,138.410004,137.564896,24355700
08/20/2019,138.210007,138.71,137.240005,137.259995,136.421906,21170800
08/21/2019,138.550003,139.49,138,138.789993,137.942551,14970300
08/22/2019,138.660004,139.20,136.289993,137.779999,136.938721,18697000
08/23/2019,137.190002,138.35,132.800003,133.389999,132.575531,38508600
08/26/2019,134.990005,135.56,133.899994,135.449997,134.622955,20312600
08/27/2019,136.389999,136.72,134.660004,135.740005,134.911179,23102100
08/28/2019,134.880005,135.76,133.550003,135.559998,134.732269,17393300
